index,pool,library_id,library_name,network,attraction_slug,attraction_rawslug,source_url,pass_form,expected_verdict,structured_requires_own_card,structured_residency,prober_card,probe_verdict,probe_url,probe_date,status,issue
1,s1_minuteman,framingham,Framingham Public Library,Minuteman,new-england-botanic-garden-at-tower-hill,new-england-botanic-garden-at-tower-hill,https://framinghamlibrary.assabetinteractive.com/museum-passes/by-museum/new-england-botanic-garden-at-tower-hill/,physical_circ,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://framinghamlibrary.assabetinteractive.com/museum-passes/by-date/2026-may/28/new-england-botanic-garden-at-tower-hill/,2026-may/28,conclusive,<urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
2,s1_minuteman,medford,Medford Public Library,Minuteman,trustees-of-reservations,the-trustees-of-the-reservations,https://medfordlibrary.assabetinteractive.com/museum-passes/by-museum/the-trustees-of-the-reservations/,physical_coupon,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://medfordlibrary.assabetinteractive.com/museum-passes/by-date/2026-may/28/the-trustees-of-the-reservations/,2026-may/28,conclusive,
3,s1_minuteman,wayland,Wayland Free Public Library,Minuteman,gore-place,gore-place,https://waylandlibrary.assabetinteractive.com/museum-passes/by-museum/gore-place/,digital_email,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://waylandlibrary.assabetinteractive.com/museum-passes/by-date/2026-may/27/gore-place/,2026-may/27,conclusive,
4,s1_minuteman,wayland,Wayland Free Public Library,Minuteman,jfk-library,john-f-kennedy-library-and-museum,https://waylandlibrary.assabetinteractive.com/museum-passes/by-museum/john-f-kennedy-library-and-museum/,digital_email,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://waylandlibrary.assabetinteractive.com/museum-passes/by-date/2026-may/27/john-f-kennedy-library-and-museum/,2026-may/27,conclusive,
5,s1_minuteman,natick,Morse Institute Library,Minuteman,new-england-aquarium,new-england-aquarium,https://morseinstitute.assabetinteractive.com/museum-passes/by-museum/new-england-aquarium/,digital_email,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://morseinstitute.assabetinteractive.com/museum-passes/by-date/2026-may/27/new-england-aquarium/,2026-may/27,conclusive,
6,s1_minuteman,sudbury,Goodnow Library,Minuteman,ica-boston,institute-of-contemporary-art-boston,https://goodnowlibrary.assabetinteractive.com/museum-passes/by-museum/institute-of-contemporary-art-boston/,digital_email,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://goodnowlibrary.assabetinteractive.com/museum-passes/by-date/2026-may/28/institute-of-contemporary-art-boston/,2026-may/28,conclusive,
7,s1_minuteman,concord,Concord Free Public Library,Minuteman,ica-boston,institute-of-contemporary-art-boston,https://concordlibrary.assabetinteractive.com/museum-passes/by-museum/institute-of-contemporary-art-boston/,digital_email,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://concordlibrary.assabetinteractive.com/museum-passes/by-date/2026-may/27/institute-of-contemporary-art-boston/,2026-may/27,conclusive,
8,s1_minuteman,weston,Weston Public Library,Minuteman,old-sturbridge-village,old-sturbridge-village,https://westonlibrary.assabetinteractive.com/museum-passes/by-museum/old-sturbridge-village/,physical_circ,accepted,False,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe"", ""evidence"": ""non-resident somerville card (same Minuteman network) accepted at card-validation (advanced to reserver-info; not booked)""}",somerville,accepted,https://westonlibrary.assabetinteractive.com/museum-passes/by-date/2026-may/28/old-sturbridge-village/,2026-may/28,conclusive,
9,s1_minuteman,belmont,Belmont Public Library,Minuteman,isabella-stewart-gardner-museum,isabella-stewart-gardner-museum,https://belmontpubliclibrary.assabetinteractive.com/museum-passes/by-museum/isabella-stewart-gardner-museum/,digital_email,rejected_resident,True,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe_card_ownership"", ""evidence"": ""non-resident somerville card (same Minuteman network) blocked at card-validation""}",somerville,unknown,https://belmontpubliclibrary.assabetinteractive.com/museum-passes/by-date/2026-may/30/isabella-stewart-gardner-museum/,2026-may/30,no_conclusive_date,Could not reach a conclusive card-validation result on a future available date.
10,s1_minuteman,lexington,Cary Memorial Library,Minuteman,trustees-of-reservations,the-trustees-of-the-reservations,https://carylibrary.assabetinteractive.com/museum-passes/by-museum/the-trustees-of-the-reservations/,physical_coupon,rejected_resident,True,"{""restricted"": ""no"", ""scope"": null, ""source"": ""booking_probe_card_ownership"", ""evidence"": ""non-resident somerville card (same Minuteman network) blocked at card-validation""}",somerville,rejected_resident,https://carylibrary.assabetinteractive.com/museum-passes/by-date/2026-may/27/the-trustees-of-the-reservations/,2026-may/27,conclusive,
